_id|isPb|wpm|acc|rawWpm|consistency|charStats|mode|mode2|quoteLength|restartCount|testDuration|afkDuration|incompleteTestSeconds|punctuation|numbers|language|funbox|difficulty|lazyMode|blindMode|bailedOut|tags|timestamp
6353ea8dc8c818a09597526c||46.17|94.85|46.17|63.63|129,0,0,0|words|25|-1|0|33.53|0|0|false|false|english|none|normal|false|false|false||1666443917000
63ff2bfb5027fd0b050502f7||46.13|96.58|46.13|61.08|141,0,0,0|words|25|-1|0|36.68|1|0|false|false|english|none|normal|false|false|false||1677667323000
634419bfa9e0f04cda763536||46.12|92.59|46.12|61.26|50,0,0,0|words|10|-1|0|13.01|2|0|false|false|english|none|normal|false|false|false||1665407423000
6410116d6d3feedce17ae6ac||46.04|95.14|46.04|66.16|135,0,0,0|words|25|-1|0|35.19|0|0|false|false|english|none|normal|false|false|false||1678774637000
6344195da9e0f04cda763180||45.84|98.31|45.84|69.97|57,0,0,0|words|10|-1|0|14.92|0|0|false|false|english|none|normal|false|false|false||1665407325000
640c591e86f61427336f9c62||45.83|95.14|45.83|66.83|136,0,0,0|words|25|-1|0|35.61|0|0|false|false|english|none|normal|false|false|false||1678530846000
6343df8fa9e0f04cda2d50ba||45.72|90|45.72|70.19|53,0,0,0|words|10|-1|0|13.91|0|0|false|false|english|none|normal|false|false|false||1665392527000
640c4aab86f6142733583ad4||45.66|93.84|45.66|56.65|136,0,0,0|words|25|-1|0|35.74|1|0|false|false|english|none|normal|false|false|false||1678527147000
6405a47c5027fd0b05b3ff32||45.65|91.25|45.65|58.43|145,0,0,0|words|25|-1|0|38.12|0|0|false|false|english|none|normal|false|false|false||1678091388000
63ff2bac5027fd0b050500a0||45.63|95.04|45.63|65.65|133,0,0,0|words|25|-1|0|34.98|0|0|false|false|english|none|normal|false|false|false||1677667244000
635d1c1fe04535b68a854fc9||45.52|95.1|45.52|68.33|133,0,0,0|words|25|-1|1|35.06|0|48.69|false|false|english|none|normal|false|false|false||1667046431000
63566285c8c818a095dd7963||45.51|92.91|45.51|62.51|126,0,0,0|words|25|-1|0|33.22|0|0|false|false|english|none|normal|false|false|false||1666605701000
640c58f986f61427336f9b6a||45.37|91.43|45.37|61.65|127,0,0,0|words|25|-1|1|33.59|0|13.21|false|false|english|none|normal|false|false|false||1678530809000
6343dee3a9e0f04cda28dab8||45.36|91.3|45.36|50.34|42,0,0,0|words|10|-1|0|11.11|0|0|false|false|english|none|normal|false|false|false||1665392355000
6405a49c5027fd0b05b6d9ff||45.28|94.57|45.28|68.29|122,0,0,0|words|25|-1|0|32.33|0|0|false|false|english|none|normal|false|false|false||1678091420000
640c4e5586f61427335e139a||45.28|90.28|45.28|60.74|126,0,0,0|words|25|-1|0|33.39|0|0|false|false|english|none|normal|false|false|false||1678528085000
6373670a31bc8284308de0ed||45.26|96.48|45.26|70.01|137,0,0,0|words|25|-1|1|36.32|0|26.68|false|false|english|none|normal|false|false|false||1668507402000
